target	name	probe count	reads hit	reads tested	total size	strains
9546	Insecta_Coleoptera_Curculionidae_Trypodendron_signatum	1908	16666	16710	16910	1
9547	Insecta_Coleoptera_Curculionidae_Trypophloeus	0	0	33680	34080	2
9548	Insecta_Coleoptera_Curculionidae_Trypophloeus_asperatus	2390	33680	33680	34080	2
9549	Insecta_Coleoptera_Curculionidae_Xyleborinus	0	0	15100	15300	1
9550	Insecta_Coleoptera_Curculionidae_Xyleborinus_saxesenii	1983	15100	15100	15300	1
9551	Insecta_Coleoptera_Curculionidae_Xyleborus	2034	15859	16251	16451	1
9552	Insecta_Coleoptera_Curculionidae_Xylosandrus	28	0	48623	49223	3
9553	Insecta_Coleoptera_Curculionidae_Xylosandrus_crassiusculus	2034	16604	16676	16876	1
9554	Insecta_Coleoptera_Curculionidae_Xylosandrus_germanus	2201	15900	15900	16100	1
9555	Insecta_Coleoptera_Curculionidae_Xylosandrus_morigerus	2075	16047	16047	16247	1
9556	Insecta_Coleoptera_Curculionoidea	19	1318	35821	36221	2
9557	Insecta_Coleoptera_Dascillidae	0	0	10463	10663	1
9558	Insecta_Coleoptera_Dascillidae_Dascillus	0	0	10463	10663	1
9559	Insecta_Coleoptera_Dascillidae_Dascillus_cervinus	1484	10463	10463	10663	1
9560	Insecta_Coleoptera_Dermestidae	6	0	98631	100031	7
9561	Insecta_Coleoptera_Dermestidae_Anthrenus	0	0	15619	15819	1
9562	Insecta_Coleoptera_Dermestidae_Anthrenus_verbasci	1134	9013	15619	15819	1
9563	Insecta_Coleoptera_Dermestidae_Attagenus	0	0	23751	24151	2
9564	Insecta_Coleoptera_Dermestidae_Attagenus_hottentotus	1762	14110	14110	14310	1
9565	Insecta_Coleoptera_Dermestidae_Attagenus_unicolor	565	4454	9641	9841	1
9566	Insecta_Coleoptera_Dermestidae_Dermestes	0	0	16191	16391	1
9567	Insecta_Coleoptera_Dermestidae_Dermestes_maculatus	1775	16191	16191	16391	1
9568	Insecta_Coleoptera_Dermestidae_Dermestidae	1756	12322	12322	12522	1
9569	Insecta_Coleoptera_Dermestidae_Trogoderma	3	0	30748	31148	2
9570	Insecta_Coleoptera_Dermestidae_Trogoderma_granarium	2162	15351	15351	15551	1
9571	Insecta_Coleoptera_Dermestidae_Trogoderma_variabile	1837	13908	15397	15597	1
9572	Insecta_Coleoptera_Derodontidae	0	0	16512	16712	1
9573	Insecta_Coleoptera_Derodontidae_Derodontidae	1567	15359	16512	16712	1
9574	Insecta_Coleoptera_Discolomatinae	1242	10346	13942	14142	1
